time,current bs,user,conn_sinr,x pos,y pos
12.3,7,175,-6.333965807781,2743.105336369578,227.012298539595
13.1,5,32,-11.821022491201,192.15182548886,335.33389644565
13.15,8,261,-15.523824061029,-1317.48273944007,1387.054552309702
13.4,10,110,-7.609769839024,965.693428753579,770.432403090985
14.45,13,327,-15.160066659702,-130.781717432343,2156.471657590877
14.75,17,155,-12.573551058583,75.942487761106,3363.387272451678
14.85,2,92,-13.474056121522,914.400862446181,-362.75684953766
15.0,7,140,-14.92371145045,2963.658996826094,-114.522552292271
15.0,15,210,-10.867741268993,1195.995023196754,1902.665294591581
15.05,16,101,-11.308755728015,2992.309882864002,1611.576460728955
15.15,16,86,-16.064833394544,2060.103009680811,1808.329143769728
15.3,12,265,-8.715342596499,3514.770192523141,1280.696944310527
15.35,11,205,-9.657191396786,1871.710831295452,883.774504189979
15.45,17,189,-14.045648718796,-218.96233265827,3241.532469487473
15.5,19,311,-13.508256444261,2286.232485252402,2300.647028701834
15.6,13,195,-24.255040690244,-65.089375658107,2156.388117864153
16.0,18,104,-6.311121933461,952.061373115771,2526.214472709559
16.35,1,305,-18.685770406137,-564.377225798286,-816.198787677425
16.5,15,72,-7.645460890711,1388.573634351913,2102.306022698131
16.5,7,282,-12.223080247811,2595.51072687332,-265.495941451362
16.6,7,159,-13.739475144823,2939.661440223966,432.806019566165
16.65,15,190,-16.528041580202,1817.699818801252,1659.672272979836
16.65,18,221,-8.924539203133,905.761376690786,2487.803186739171
16.65,1,234,-14.373172409936,-294.123992472681,-351.103988914162
16.75,2,264,-11.250171391745,1054.862984476164,-1196.373082256578
16.8,13,93,-14.028897350424,-803.252293411725,1568.781749133471
16.8,7,170,-23.62648199031,3208.913576367944,-44.484595662123
16.8,13,253,-13.050491406661,-25.771970586463,2019.250163922065
16.85,13,85,-23.543929115089,-1041.719210632907,1600.013743034433
16.9,17,90,-20.458324228198,-624.583700551781,2885.126087941117
16.9,12,117,-8.275849582133,2929.705038510702,788.600425306201
16.9,3,216,-20.553940689073,2318.81409064769,-1371.467986376668
16.95,17,122,-6.509183633024,152.562011487685,2579.116406744381
17.25,5,336,-14.841700726096,864.370854510812,-148.595875722217
17.25,11,343,-18.797842994509,2547.465051896251,1030.872735815602
17.3,3,35,-7.788036490589,2011.955667886672,-1026.650858463142
17.35,2,63,-10.146317650347,1219.916681473163,-328.838087252224
17.35,4,306,-8.151020566541,-745.958999261112,210.733422703429
17.5,15,271,-7.515607516956,1225.777503477237,1655.221737126991
17.55,1,288,-10.565614966823,121.474511797033,-476.360276716558
17.6,16,160,-7.631575540275,2207.924513496006,1962.284575516027
17.75,16,69,-15.546448202635,3121.856774357118,1666.186780781031
17.8,15,24,-12.209299261646,1260.666856143595,2168.601303472564
17.9,15,118,-17.216894392748,1945.498470207718,2146.049015210503
17.9,7,239,-8.04874426723,2538.635427917729,-198.006921783881
17.9,10,301,-6.404199261905,1150.915994522473,1178.03073048749
17.95,7,226,-13.178142679755,2802.978313054365,-279.985382942763
17.95,11,344,-12.638620103626,2554.43969082663,1247.188174154871
18.0,6,21,-14.424149035051,1333.398029942061,-290.619067216547
18.05,10,73,-8.283860815271,706.688488635577,870.631244926957
18.05,10,158,-10.184693669193,1263.161625453652,1095.259499952734
18.1,9,3,-16.05084589323,406.476083770846,1155.294392502709
18.1,18,87,-8.136266771196,969.481685168401,3108.311942099017
18.15,7,106,-15.302842189577,2569.444617304935,-426.541881673411
18.3,3,361,-10.963481538271,2246.997682239904,-877.157827147322
18.35,11,13,-12.897356084019,2219.942396817827,815.19324838237
18.45,17,364,-8.104674134444,137.776177819203,2773.088921484851
18.5,15,16,-16.530399185433,1818.909725242888,2249.876869681526
18.55,1,353,-17.205321481171,-172.684361716817,-1188.133189773762
18.6,8,241,-10.841510729713,-1406.963618782348,1030.797748342401
18.75,15,134,-7.527491009266,1516.596894843202,2153.234366453102
18.8,15,334,-8.051294399362,1261.84022897252,1806.583323221233
18.95,9,213,-6.812601332211,175.172761645732,1054.127681485805
19.0,19,91,-6.117748997517,1578.889065273398,2795.066491946721
19.0,12,345,-6.797633546196,2925.200901104052,709.933923340105
19.05,1,354,-8.402086668037,228.942133741538,-405.907951300017
19.2,7,39,-8.843758447949,2285.316086547421,367.968553519476
19.25,13,196,-19.082840108414,-1127.360260192977,2188.873828311706
19.35,16,126,-22.855677440616,3258.205626478094,2125.216290869015
19.35,3,268,-12.068319674717,1712.506193379278,-1045.754990272328
19.35,17,378,-15.688476264562,47.416454519889,2418.007735268201
19.4,18,153,-10.030696839954,1330.989589442572,2777.160962890145
19.4,6,188,-9.25444404252,1305.811412037037,191.608920743249
19.4,9,285,-9.864470267186,-416.267743547533,1107.350160553083
19.4,18,290,-8.11661173082,742.952056703017,3017.010684856501
19.45,2,246,-9.267536620183,1262.559393695287,-685.538793236613
19.45,3,274,-7.049134315075,2150.224117959898,-612.277560678873
19.45,15,340,-19.699680856786,1104.768006615528,1753.470385582192
19.5,6,0,-19.519631934391,2042.756541043221,488.411550052888
19.55,17,257,-9.010851727157,207.568275611895,2842.104035534463
19.55,19,281,-6.094846877731,2145.842179576978,2616.987332384527
19.7,6,148,-7.624076108358,1711.234327153034,-207.572783148432
19.7,8,266,-12.165977532568,-1352.102755593296,1058.488082007836
19.85,17,204,-9.560763805907,-162.191683354534,2966.224820831117
19.9,14,9,-8.081922415154,245.548850851915,1886.916186296472
19.9,7,11,-15.099406929565,2089.340754832382,412.963351983709
19.95,12,352,-22.774692129361,3127.894578927395,418.843378272054
20.0,8,203,-6.562578172725,-1107.245124944887,761.509759270769
20.0,17,296,-10.990186469021,-248.90691881202,2560.196166802538
20.05,17,152,-18.976854579356,427.891261086748,2945.306123453595
20.1,7,127,-12.741468933752,2060.263257390762,61.329287011293
20.2,16,2,-6.599397950683,2606.962550792947,1617.378469456699
20.2,8,53,-10.599395887772,-553.968940583315,1078.878998884579
20.3,10,137,-10.592540049239,1305.562426156308,636.985435207648
20.4,9,304,-7.319705734878,104.620781517295,1116.027204758957
20.45,13,143,-12.977550039988,-843.475815118709,1845.876375628062
20.55,10,357,-8.21193020256,715.796174457155,1021.214237902018
20.6,19,119,-18.04627702967,2076.391967692272,3286.854561154257
20.6,8,202,-14.08222535396,-1125.315606275635,1261.933536214312
20.6,14,363,-8.209853567304,733.166876179769,2209.194535471277
20.7,14,303,-9.984585266876,156.099658869162,2293.215653134933
20.75,3,289,-18.258855038269,2513.173017645927,-1073.143374698518
20.85,9,183,-9.458914080584,248.412793110651,1089.16372463062
20.85,7,251,-11.330046457626,2758.964694772211,403.370814362667
20.85,2,350,-8.485502488712,863.485826101414,-577.910576183583
20.9,8,109,-19.000499745282,-525.935393793178,482.45820375505
20.95,11,45,-15.283383881768,1571.136669381702,1167.231030345934
21.05,4,201,-8.674633339897,-618.106676342789,323.095497686725
21.3,18,30,-17.768701804539,804.247765406467,3413.954600006484
21.3,4,250,-8.66292975896,-397.298213965251,61.620789999755
21.35,4,259,-7.293645257798,-674.963134239712,-94.833644638185
21.45,12,179,-10.423738336074,3207.896834227439,1281.588502290833
21.5,15,180,-7.615356633919,1276.961681305452,1661.605760072118
21.6,9,18,-9.322008002286,-470.62902463411,1058.727427412128
21.65,1,287,-9.090242420781,176.139814347099,-765.041544107635
21.75,16,370,-21.310825079745,2969.983424521909,1680.509798356014
21.8,3,40,-6.365590861346,2213.058848094525,-900.809955781662
21.8,10,168,-13.785480795927,712.67113461016,796.864397211212
21.85,4,335,-13.287862266073,-493.549929027693,476.363721477514
21.9,6,164,-19.066682970949,1934.412616923262,508.846023463965
21.95,10,247,-9.477964285331,852.985622575522,849.028354888331
22.0,7,76,-18.114050264766,2844.214979818045,-560.39061898447
22.0,11,214,-14.76888888285,2512.769040505859,758.131325892561
22.05,7,100,-17.602209417544,3060.600403074376,226.451991172806
22.05,14,223,-14.887895572579,43.937796495384,2183.056087353747
22.1,2,142,-15.323003083459,1540.095051818637,-949.887044934807
22.15,4,33,-6.572368927088,-633.656969911056,469.084622454118
22.15,16,307,-19.581598587348,2918.276387047456,1481.313651551583
22.2,2,107,-19.951850930202,1172.32851498967,-1374.360389916547
22.3,5,31,-15.458273633887,-43.133182082711,48.970561568975
22.3,7,49,-6.836056325922,2658.861446742138,248.552912506083
22.3,17,88,-10.211922211274,181.056138991594,3303.112809148779
22.35,2,50,-10.994960065893,971.18782494198,-397.922382377855
22.35,2,51,-26.313810192387,1618.70711468317,-1175.521073947781
22.45,13,298,-7.127562277427,-193.307729105892,2078.087773286653
22.5,3,200,-8.31924472627,2261.638496568941,-785.264568915047
22.5,15,372,-6.598076232117,1585.681615838404,1641.856007043476
22.6,15,277,-9.58758537033,1474.120456045393,2113.931765269097
22.6,8,313,-10.816759361583,-757.123191266897,937.747289001048
22.6,8,314,-9.647980491113,-1339.594588056535,1006.322982819879
22.65,18,166,-17.541352164877,1305.468927542966,2437.860170089701
22.75,13,262,-7.43316135662,-491.2118239212,1675.690630143794
22.8,17,47,-9.47681565988,202.523712755604,2643.102979536178
22.85,15,28,-11.281444890999,1262.763718229992,1627.961532581028
22.85,4,79,-21.37698116928,-1341.854529990891,42.612456868274
22.95,13,302,-10.082497501116,-853.853450430299,2166.475334129278
23.05,4,212,-12.971616013069,-863.002004471765,-140.154816681032
23.1,2,267,-16.433639595361,1049.082214716943,-1302.682475198987
23.2,1,286,-7.604489924381,122.614112833649,-741.412377852863
23.25,4,146,-7.281826624178,-396.365827004361,35.583559622591
23.35,13,36,-6.40038404542,-767.965716057458,1818.473963977206
23.35,6,371,-8.485171608935,1528.767512203026,476.361601961539
23.55,8,348,-6.529831095962,-666.909730657675,660.753924288541
23.65,13,4,-8.523720365658,-704.646860460851,1981.372289552484
23.65,2,278,-12.852431896816,632.820559883963,-911.176835803749
23.65,7,308,-8.371447558885,2415.876068793705,-149.760591283697
23.9,5,41,-7.565215673032,341.02639367564,225.269402793353
23.9,9,48,-6.009179176684,109.091375043967,831.353617820748
23.9,9,98,-7.537148110941,7.404818667699,1185.872863434726
23.95,12,156,-9.487981565993,3269.97204767276,751.290106265988
23.95,15,243,-7.387141731344,1212.888778587691,1979.128605509082
24.1,10,29,-18.495336122841,532.422276415328,702.307380842802
24.3,5,46,-16.933145894871,27.130586951657,365.360862551172
24.4,2,96,-13.585326477679,630.597312445326,-967.063511409292
24.4,13,356,-13.783809039072,-803.628347271562,1813.247042047243
24.45,14,198,-11.069601929104,872.586778411807,1879.228270222712
24.5,3,26,-6.201545090941,1981.91389249309,-429.776708687706
24.5,9,54,-8.53264811407,-392.166676574954,1069.937142498402
24.65,8,217,-24.68514058922,-1509.305982060122,309.8506581381
24.7,12,230,-10.230434997903,3097.666056982803,1220.214279110848
24.7,14,269,-13.732466910595,797.967597752533,1906.296823217061
24.7,14,299,-15.209323407872,340.871851154673,1303.982584150223
25.05,17,255,-7.241394241646,-240.150568950529,2926.014172618357
25.2,12,279,-19.794644751341,2958.160128751776,1466.808825954313
25.6,2,182,-11.45330292097,1019.024808270955,-1139.452209723757
25.8,10,12,-8.959543885889,1148.899459602037,697.019710518092
25.8,8,359,-6.404198594469,-1344.219661630326,1024.384848389694
25.9,18,8,-8.762152074478,1141.030197318304,2947.960266629897
26.25,4,44,-10.700253228698,-315.42159990788,389.347895008717
26.55,7,67,-8.808410349411,2352.077802282995,163.877732821657
27.3,3,300,-10.454819402608,1853.526285178038,-968.459615328673
27.4,2,191,-16.647316810261,1316.858242138761,-1060.050141748913
27.8,13,154,-6.024304612235,-695.289803453015,1756.563974949494
27.8,12,366,-6.751947477027,3096.143183514464,823.622623294019
27.95,10,75,-9.334165169046,1241.905097463321,1167.106888780418
28.5,10,373,-10.258029412184,1155.9295828718,1072.760776434248
28.65,1,206,-6.39033837033,48.120249827871,-950.551771417591
29.1,14,327,-14.102350643783,29.777575010059,1827.291196277645
30.45,15,144,-6.00897658978,1638.063568275863,1802.660032464835
31.0,17,257,-6.622255044992,224.96408179231,2787.560947729212
31.05,2,264,-7.093788860317,1003.722242057162,-1146.40434738331
31.45,8,203,-7.604396237466,-1164.35551259182,765.505522378705
32.55,5,333,-6.408383732924,623.38489881636,27.462531773399
32.7,11,190,-10.077141923272,1960.058743077949,1284.524969672512
32.9,18,104,-8.543493813127,895.587326044336,2463.358033044472
33.1,9,53,-10.286531933979,-515.373782084508,1098.329718393142
33.4,6,193,-6.643467872382,1645.674442101068,259.141526649129
33.45,5,336,-19.465782827237,892.088767363216,-72.485972903294
33.8,13,173,-21.53641933834,-1135.894584518966,2339.544353632382
33.95,12,219,-18.092399257493,3498.365101311756,1399.570348497714
